date,market,symbol,name
2025-09-18,sh,000158,上证环保
2025-09-18,sh,000159,沪股通
2025-09-18,sh,000160,沪新丝路
2025-09-18,sh,000161,沪中国造
2025-09-18,sh,000162,沪互联+
2025-09-18,sh,000170,50AH优选
2025-09-18,sh,000171,新兴成指
2025-09-18,sh,000300,沪深300
2025-09-18,sh,000510,中证A500
2025-09-18,sh,000680,科创综指
2025-09-18,sh,000681,科创价格
2025-09-18,sh,000682,科创信息
2025-09-18,sh,000683,科创生物
2025-09-18,sh,000685,科创芯片
2025-09-18,sh,000687,科创高装
2025-09-18,sh,000688,科创50
2025-09-18,sh,000689,科创材料
2025-09-18,sh,000690,科创成长
2025-09-18,sh,000691,科创ESG
2025-09-18,sh,000692,科创新能
2025-09-18,sh,000693,科创机械
2025-09-18,sh,000695,科长三角
2025-09-18,sh,000697,科大湾区
2025-09-18,sh,000698,科创100
2025-09-18,sh,000699,科创200
2025-09-18,sh,000802,500沪市
2025-09-18,sh,000805,A股资源
2025-09-18,sh,000806,消费服务
2025-09-18,sh,000807,食品饮料
2025-09-18,sh,000808,医药生物
2025-09-18,sh,000811,细分有色
2025-09-18,sh,000812,细分机械
2025-09-18,sh,000813,细分化工
2025-09-18,sh,000814,细分医药
2025-09-18,sh,000815,细分食品
2025-09-18,sh,000819,有色金属
2025-09-18,sh,000820,煤炭指数
2025-09-18,sh,000821,300红利
2025-09-18,sh,000823,800有色
2025-09-18,sh,000824,国企红利
2025-09-18,sh,000825,央企红利
2025-09-18,sh,000827,中证环保
2025-09-18,sh,000828,300高贝
2025-09-18,sh,000832,中证转债
2025-09-18,sh,000841,800医药
2025-09-18,sh,000846,ESG 100
2025-09-18,sh,000847,腾讯济安
2025-09-18,sh,000849,300非银
2025-09-18,sh,000851,百发100
2025-09-18,sh,000852,中证1000
2025-09-18,sh,000853,CSSW丝路
2025-09-18,sh,000854,500原料
2025-09-18,sh,000855,央视500
2025-09-18,sh,000856,500工业
2025-09-18,sh,000857,500医药
2025-09-18,sh,000858,500信息
2025-09-18,csi,000859,国企一带一路
2025-09-18,sh,000860,结构调整
2025-09-18,csi,000861,央企创新
2025-09-18,sh,000863,CS精准医
2025-09-18,sh,000865,上海国企
2025-09-18,sh,000867,港中小企
2025-09-18,sh,000869,HK银行
2025-09-18,sh,000888,上证综合全收益
2025-09-18,sh,000891,新兴综指
2025-09-18,sh,000901,小康指数
2025-09-18,sh,000902,中证流通
2025-09-18,sh,000903,中证A100
2025-09-18,sh,000904,中证200
2025-09-18,sh,000905,中证500
2025-09-18,sh,000906,中证800
2025-09-18,sh,000907,中证700
2025-09-18,sh,000908,300能源
2025-09-18,sh,000909,300材料
2025-09-18,sh,000910,300工业
