       date symbol     name   dx  cci if1      if3      if5     if10 score
 2024-11-14 600048 保利发展 0.30 0.21  -1    -0.59     0.85    11.72  1.99
 2024-11-14 600177   雅戈尔 0.62 0.39   1     2.54     3.16     1.33  1.99
 2024-11-14 601001 晋控煤业 0.23 0.28   1     0.02    -0.15    -1.58  1.99
 2024-11-14 601118 海南橡胶 0.18 0.08   1    -0.76    -0.43    -3.48  1.99
 2024-11-14 002488 金固股份 0.00 0.02  -1    -4.16    -5.88   -11.74  1.98
 2024-11-14 002179 中航光电 0.51 0.27  -1     4.01     4.46     8.12  1.97
 2024-11-14 002633 申科股份 0.62 0.41   1     4.62     6.04     4.58  1.97
 2024-11-14 600012 皖通高速 0.22 0.31   1  -100.66   -61.36    23.55  1.97
 2024-11-14 600233 圆通速递 0.24 0.30  -1     8.35    23.40    -0.22  1.96
 2024-11-14 600273 嘉化能源 0.55 0.49   1     0.04     0.08     1.32  1.96
 2024-11-14 600298 安琪酵母 0.15 0.14   1    -9.47   -15.45   -33.26  1.96
 2024-11-14 600456 宝钛股份 0.56 0.23  -1     0.93     1.69     1.15  1.96
 2024-11-14 600612   老凤祥 0.34 0.44   1     1.13     0.91    -3.96  1.96
 2024-11-14 603556 海兴电力 0.23 0.32   1     0.48    -2.65    -2.99  1.96
 2024-11-14 000651 格力电器 0.24 0.31   1  -294.13   192.52 -1161.01  1.95
 2024-11-14 000683 远兴能源 0.53 0.27   1    -0.27     0.76     0.54  1.95
 2024-11-14 000058 深 赛 格 0.53 0.28   1     6.17     0.41   -10.10  1.94
 2024-11-14 002463 沪电股份 0.39 0.43   1     0.82     0.07    -1.73  1.93
 2024-11-14 002901 大博医疗 0.48 0.34  -1     6.46     8.56     1.93  1.93
 2024-11-14 000959 首钢股份 0.62 0.46   1     0.68     3.84     6.12  1.92
 2024-11-14 002544 普天科技 0.54 0.29   1     1.89     1.54    -8.31  1.92
 2024-11-14 002875   安奈儿 0.00 0.08  -1    -5.93    -5.15   -13.44  1.92
 2024-11-14 601939 建设银行 0.33 0.02   1   -10.42    -9.73   -32.16  1.90
 2024-11-14 002020 京新药业 0.59 0.52   1     4.53     5.97     8.46  1.89
 2024-11-14 002388   ST新亚 0.36 0.25  -1     7.58    13.36  -244.66  1.89
 2024-11-14 002479 富春环保 0.58 0.29  -1     1.57     2.65     3.47  1.88
 2024-11-14 002641 公元股份 0.63 0.49   1     0.74    15.06    11.69  1.88
 2024-11-14 601000   唐山港 0.20 0.43   1     0.35    -2.84    -7.23  1.88
 2024-11-14 601328 交通银行 0.52 0.10   1     7.96    -4.09   -18.07  1.88
 2024-11-14 002444 巨星科技 0.10 0.03  -1    -9.46   -13.67   -18.11  1.87
 2024-11-14 002572   索菲亚 0.40 0.23  -1    -1.28     2.34     3.08  1.87
 2024-11-14 600312 平高电气 0.38 0.50   1    -0.03     1.20     1.41  1.87
 2024-11-14 600577 精达股份 0.61 0.27   1     2.70     1.08    -7.11  1.87
 2024-11-14 600690 海尔智家 0.29 0.34   1     0.14    -0.46    -2.97  1.87
 2024-11-14 601811 新华文轩 0.64 0.50   1     2.58     5.50    10.24  1.87
 2024-11-14 002286   保龄宝 0.63 0.51   1     7.72    11.90     7.46  1.86
 2024-11-14 002827 高争民爆 0.26 0.39  -1   -11.85     3.48     7.37  1.86
 2024-11-14 601398 工商银行 0.29 0.10   1    -3.66    -5.68    -7.59  1.86
 2024-11-14 601818 光大银行 0.54 0.35   1    -1.23    17.66    39.14  1.86
 2024-11-14 603337 杰克股份 0.62 0.51   1     2.48     4.27    10.03  1.86
 2024-11-14 603822 嘉澳环保 0.54 0.60   1     2.13     1.87     2.84  1.86
 2024-11-14 002342 巨力索具 0.63 0.52   1     0.84     0.31     0.51  1.85
 2024-11-14 600769 祥龙电业 0.59 0.56   1     0.29     0.86     0.05  1.85
 2024-11-14 600863 内蒙华电 0.50 0.14   1    -7.59    -1.49     0.14  1.85
 2024-11-14 000582 北部湾港 0.62 0.53   1     2.75     3.25     1.63  1.84
 2024-11-14 002647 仁东控股 0.12 0.04  -1    -2.45    -1.34    -7.01  1.84
 2024-11-14 002763 汇洁股份 0.65 0.50   1     3.27     1.62     0.85  1.84
 2024-11-14 600698 湖南天雁 0.48 0.42   1     2.32     1.34    -4.67  1.84
 2024-11-14 600764 中国海防 0.25 0.16   1   -14.81   -26.71  -102.28  1.84
 2024-11-14 601998 中信银行 0.41 0.26  -1     0.80     4.90    -0.85  1.84
 2024-11-14 000012 南  玻Ａ 0.64 0.54   1     0.05     4.76     8.88  1.83
 2024-11-14 600285 羚锐制药 0.55 0.62   1     0.35     0.46     7.08  1.83
 2024-11-14 603358 华达科技 0.29 0.13   1   -26.06   -29.84   -48.29  1.83
 2024-11-14 603567   珍宝岛 0.59 0.58   1     2.82     4.82     6.42  1.83
 2024-11-14 000595 宝塔实业 0.14 0.04  -1    -3.80    -6.11   -17.96  1.82
 2024-11-14 001965 招商公路 0.48 0.21   1     0.89   -10.53   -69.91  1.82
 2024-11-14 600673   东阳光 0.76 0.42   1     6.94    11.27     3.38  1.82
 2024-11-14 601100 恒立液压 0.48 0.45  -1     0.76     4.95    11.99  1.82
 2024-11-14 601366 利群股份 0.68 0.51   1     1.23     0.64     0.87  1.82
 2024-11-14 603605   珀莱雅 0.45 0.23  -1    -4.36     0.22     1.24  1.82
 2024-11-14 002072   凯瑞德 0.53 0.41   1     2.47     1.65    -1.55  1.81
 2024-11-14 600225  *ST卓朗 0.11 0.09  -1    -4.74    -7.76   -13.44  1.81
 2024-11-14 600336   澳柯玛 0.27 0.17  -1    -1.08     3.29   -49.47  1.81
 2024-11-14 600642 申能股份 0.67 0.27   1     1.58     1.46    -0.52  1.81
 2024-11-14 601003 柳钢股份 0.66 0.53   1     3.21     2.99     1.37  1.81
 2024-11-14 601288 农业银行 0.19 0.00  -1   -17.79   -20.59   -21.85  1.81
 2024-11-14 000550 江铃汽车 0.45 0.50  -1     5.50     4.44     6.31  1.80
 2024-11-14 600398 海澜之家 0.61 0.59   1     2.13     2.35     2.97  1.80
 2024-11-14 600500 中化国际 0.66 0.54   1     1.18     1.34     1.24  1.80
 2024-11-14 601628 XD中国人 0.35 0.35  -1    -5.52     4.34     6.32  1.80
 2024-11-14 603444   吉比特 0.33 0.36   1    -2.54    -3.72     2.27  1.80
 2024-11-14 000829 天音控股 0.61 0.34   1     3.47     0.98    -6.69  1.79
 2024-11-14 000883 湖北能源 0.71 0.50   1     2.02     1.69     2.22  1.79
 2024-11-14 002355 兴民智通 0.55 0.41  -1     1.87     2.35     0.02  1.79
 2024-11-14 600016 XD民生银 0.59 0.63   1     1.44     1.24     1.78  1.79
 2024-11-14 600057 厦门象屿 0.71 0.50   1     2.15     2.01     1.91  1.79
 2024-11-14 600550 保变电气 0.30 0.16   1    -3.60    -6.00   -31.14  1.79
 2024-11-14 600928 西安银行 0.68 0.53   1     0.76     0.89     1.88  1.79
 2024-11-14 600988 赤峰黄金 0.21 0.25   1  -249.02  -448.28  -752.50  1.79
 2024-11-14 601339 百隆东方 0.65 0.31   1     3.12    -0.36     8.91  1.79
 2024-11-14 000786 北新建材 0.29 0.17  -1    -5.35    -6.85     7.52  1.78
 2024-11-14 001872 招商港口 0.19 0.27   1    -1.55   -19.30   -21.93  1.78
 2024-11-14 002884 凌霄泵业 0.42 0.05  -1    -1.09    -0.90    12.19  1.78
 2024-11-14 600151 航天机电 0.74 0.48   1     2.60     2.98     6.68  1.78
 2024-11-14 603323 苏农银行 0.68 0.54   1     1.06     0.85     2.37  1.78
 2024-11-14 603596   伯特利 0.69 0.53   1     5.43     4.66    12.32  1.78
 2024-11-14 603626 科森科技 0.36 0.36  -1     0.17     0.13    -4.16  1.78
 2024-11-14 603978 深圳新星 0.27 0.21   1  -380.09  -194.25   -52.22  1.78
 2024-11-14 002262 恩华药业 0.43 0.30   1     0.65    -2.19    -5.64  1.77
 2024-11-14 002529 海源复材 0.64 0.34  -1     0.59    12.43     3.12  1.77
 2024-11-14 600750 江中药业 0.63 0.60   1     6.58    14.52    20.66  1.77
 2024-11-14 600847 万里股份 0.17 0.07  -1    -2.16    -6.52   -15.59  1.77
