t_adx,t_cci,x_thr,t_max,r_max,r_min,mean,sd
15,55,0.45,115,0.1,-0.5,0.0259420389706315,0.132469230493846
15,55,0.45,120,0.1,-0.5,0.0259357332481438,0.134285501253147
15,55,0.5,100,0.1,-0.5,0.0230339192008739,0.130006665744678
15,55,0.5,105,0.1,-0.5,0.0244615133412888,0.130372996528534
15,55,0.5,110,0.1,-0.5,0.0254788607530551,0.131325563159019
15,55,0.5,115,0.1,-0.5,0.026362781745227,0.132305498895436
15,55,0.5,120,0.1,-0.5,0.0263419946105931,0.134122008416415
15,55,0.55,100,0.1,-0.5,0.0233656253198984,0.129903033235516
15,55,0.55,105,0.1,-0.5,0.0249530364637829,0.130156791789493
15,55,0.55,110,0.1,-0.5,0.0260438294040051,0.13102298539159
15,55,0.55,115,0.1,-0.5,0.0268736458710812,0.132043818741212
15,55,0.55,120,0.1,-0.5,0.0268383079816065,0.133872331540728
15,55,0.6,100,0.1,-0.5,0.0236626568428102,0.129904180605764
15,55,0.6,105,0.1,-0.5,0.0253997390321297,0.130040563114715
15,55,0.6,110,0.1,-0.5,0.0265331559338986,0.130829752647732
15,55,0.6,115,0.1,-0.5,0.0273685228598648,0.131884902164524
15,55,0.6,120,0.1,-0.5,0.0273917080835229,0.133631077955015
15,60,0.4,100,0.1,-0.5,0.0227153890465802,0.130173054814505
15,60,0.4,105,0.1,-0.5,0.0239796914957813,0.130707507800911
15,60,0.4,110,0.1,-0.5,0.0249841114843546,0.131706521152691
15,60,0.4,115,0.1,-0.5,0.0258278285726985,0.132610524038631
15,60,0.4,120,0.1,-0.5,0.0258557523504433,0.134362003428871
15,60,0.45,100,0.1,-0.5,0.0228774421721281,0.130039381774335
15,60,0.45,105,0.1,-0.5,0.0242508942236112,0.130493291829835
15,60,0.45,110,0.1,-0.5,0.0253440286009606,0.131392344602047
15,60,0.45,115,0.1,-0.5,0.0261841225333701,0.132289958404113
15,60,0.45,120,0.1,-0.5,0.0261505787643489,0.134141878778245
15,60,0.5,100,0.1,-0.5,0.023282128550768,0.129749211123156
15,60,0.5,105,0.1,-0.5,0.0247537010554473,0.130118061238436
15,60,0.5,110,0.1,-0.5,0.0258281776263174,0.131038280202784
15,60,0.5,115,0.1,-0.5,0.0266353488013895,0.132013292046456
15,60,0.5,120,0.1,-0.5,0.0265607363823981,0.133930232869567
15,60,0.55,100,0.1,-0.5,0.0234350324374806,0.141597207201303
15,60,0.55,105,0.1,-0.5,0.0250732189946666,0.141854545662376
15,60,0.55,110,0.1,-0.5,0.026209924421377,0.142669538341941
15,60,0.55,115,0.1,-0.5,0.0269407535726875,0.143664951159402
15,60,0.55,120,0.1,-0.5,0.026841554645868,0.145455986170114
15,60,0.6,100,0.1,-0.5,0.0237161595005455,0.143178983719948
15,60,0.6,105,0.1,-0.5,0.0254960902518882,0.143359561144399
15,60,0.6,110,0.1,-0.5,0.0266393871701491,0.144130449221443
15,60,0.6,115,0.1,-0.5,0.0274065441968129,0.145174025584911
15,60,0.6,120,0.1,-0.5,0.0273416908533344,0.146892397998975
20,10,0.4,100,0.1,-0.5,0.0219719499949977,0.136365371308515
20,10,0.4,105,0.1,-0.5,0.0234608724424658,0.136460008220017
20,10,0.4,110,0.1,-0.5,0.0247448871779432,0.137025232376832
20,10,0.4,115,0.1,-0.5,0.0257563360799842,0.13775697943772
20,10,0.4,120,0.1,-0.5,0.0255895822329619,0.139720623527515
20,10,0.45,100,0.1,-0.5,0.0221504663513596,0.136333391637384
20,10,0.45,105,0.1,-0.5,0.0236318215567578,0.136402961218982
20,10,0.45,110,0.1,-0.5,0.0249061069544533,0.137013224980442
20,10,0.45,115,0.1,-0.5,0.0258765745961245,0.13778843887123
20,10,0.45,120,0.1,-0.5,0.0256615846566863,0.139821537396853
20,10,0.5,100,0.1,-0.5,0.0220009133094917,0.136368303474113
20,10,0.5,105,0.1,-0.5,0.0235161244699154,0.136422103474472
20,10,0.5,110,0.1,-0.5,0.0247932406289929,0.137040070557012
20,10,0.5,115,0.1,-0.5,0.0257384289629431,0.137818444492793
20,10,0.5,120,0.1,-0.5,0.0254940882664491,0.139912862217724
20,10,0.55,100,0.1,-0.5,0.0219886863697355,0.136509091941931
20,10,0.55,105,0.1,-0.5,0.02351751739386,0.13656532658011
20,10,0.55,110,0.1,-0.5,0.0247478750726206,0.137216062250466
