t_adx,t_cci,x_thr,t_max,r_max,r_min,mean,sd,t_mean,t_sd
5,55,0.75,120,0.09,-0.5,0.0254140897727198,0.143254525534603,52.6760002432202,46.2788222307343
5,55,0.75,125,0.09,-0.5,0.0266134502068136,0.14339130377265,53.640024414435,47.9795652273078
5,60,0.45,110,0.09,-0.5,0.0236819705573725,0.124873310347273,51.0420811802296,42.7757975463545
5,60,0.45,115,0.09,-0.5,0.0244075297681137,0.125859210838529,52.1994904337643,44.57796054118
5,60,0.45,120,0.09,-0.5,0.0246006487547305,0.127292350999618,53.4156381208904,46.3900834373351
5,60,0.45,125,0.09,-0.5,0.0257750365414342,0.127503617594056,54.4137703458092,48.1104974176442
5,60,0.5,110,0.09,-0.5,0.0239182085898744,0.124805322292523,50.9247488458147,42.7459872609541
5,60,0.5,115,0.09,-0.5,0.0246260976318281,0.125816373653709,52.0755423755268,44.5436300045866
5,60,0.5,120,0.09,-0.5,0.0247989665692249,0.127284680374199,53.2906846532462,46.3534337673325
5,60,0.5,125,0.09,-0.5,0.0260037814528194,0.127452700276004,54.2732319007285,48.0655223039268
5,60,0.55,110,0.09,-0.5,0.0237452193268932,0.13554466235841,50.8421806788113,42.7472610177206
5,60,0.55,115,0.09,-0.5,0.0244190673281019,0.136539506042918,51.9976817036604,44.5466197591824
5,60,0.55,120,0.09,-0.5,0.0245557458432293,0.137946467361307,53.2196714709013,46.3596904516623
5,60,0.55,125,0.09,-0.5,0.0257881800433165,0.138104214195242,54.1964920049674,48.0700218981826
5,60,0.6,110,0.09,-0.5,0.024498623701087,0.136183157259831,50.5689053874791,42.6906754492935
5,60,0.6,115,0.09,-0.5,0.0251600388276307,0.137137648939755,51.7192062215071,44.4841444148462
5,60,0.6,120,0.09,-0.5,0.0252367179078802,0.138601007248939,52.9391613346502,46.2928964666835
5,60,0.6,125,0.09,-0.5,0.0264262666571299,0.138769312613921,53.9151742419344,47.998413722432
5,60,0.65,110,0.09,-0.5,0.0248598133723832,0.124339676879274,50.4328942425381,42.6765970778397
