t_adx,t_cci,t_xad,t_xbd,t_sgd,xa_thr,xb_thr,t_max,r_max,r_min,apy_mean,apy_sd
146,154,5,2,16,0.4,0.22,52,0.06,-0.54,0.121011643018563,0.0509513033862513
148,155,5,2,16,0.4,0.22,52,0.06,-0.54,0.126827852703671,0.0515522275568941
149,154,5,2,16,0.4,0.22,52,0.06,-0.54,0.122645206658572,0.0513881194109408
150,154,5,2,16,0.4,0.22,59,0.06,-0.54,0.125604050829867,0.0519934989758412
150,154,5,2,16,0.4,0.22,56,0.06,-0.54,0.122962749357442,0.0521592438356345
150,154,5,2,16,0.4,0.22,54,0.06,-0.43,0.123905082357638,0.0528696016733148
150,154,5,2,16,0.4,0.23,53,0.06,-0.49,0.120418095632754,0.050051470270958
150,154,5,2,16,0.4,0.22,52,0.06,-0.52,0.124036861270016,0.0527213491094961
150,154,5,2,16,0.4,0.22,52,0.06,-0.54,0.123104690546201,0.050883543754438
150,154,5,2,16,0.4,0.22,52,0.06,-0.34,0.122273300530752,0.0495148016426678
150,154,5,2,16,0.4,0.28,52,0.06,-0.45,0.120753692250241,0.0510627765351769
150,154,5,2,16,0.4,0.25,52,0.06,-0.5,0.120283915007399,0.0515654174190583
150,154,5,2,16,0.4,0.23,52,0.09,-0.52,0.129611804091774,0.0575784244861694
150,164,5,2,16,0.4,0.22,52,0.08,-0.54,0.119898613081133,0.0543147189083985
136,159,5,2,16,0.4,0.22,52,0.07,-0.54,0.125745965413664,0.0569278041448943
143,156,5,2,16,0.4,0.27,52,0.06,-0.54,0.126780610435227,0.0495261905489647
143,156,5,2,16,0.4,0.29,52,0.06,-0.54,0.125054096121393,0.051617217725996
143,156,5,2,16,0.4,0.28,52,0.06,-0.54,0.120012392412855,0.050427627987904
143,156,5,2,16,0.4,0.28,52,0.09,-0.54,0.121670766631019,0.0553790521654516
143,156,5,2,16,0.4,0.28,52,0.08,-0.54,0.119528604291856,0.0537149489559433
143,156,5,2,16,0.4,0.28,52,0.07,-0.4,0.117876151745131,0.0541044323442
143,156,5,2,16,0.4,0.28,52,0.06,-0.47,0.118868290428431,0.0508967895692004
143,156,5,2,16,0.4,0.28,52,0.06,-0.57,0.121941372974767,0.0496371619981489
143,156,5,2,16,0.4,0.28,52,0.08,-0.56,0.119108408142289,0.0540767888432455
127,156,5,2,16,0.4,0.28,52,0.07,-0.55,0.117618047529563,0.0566023901700243
148,156,5,2,16,0.4,0.28,52,0.06,-0.54,0.120094574245434,0.0524348615068891
146,156,5,2,16,0.4,0.28,52,0.06,-0.54,0.119748431275552,0.0500711551144634
144,156,5,5,16,0.4,0.28,52,0.06,-0.54,0.117172987395419,0.0518926819400937
144,156,5,4,16,0.4,0.28,52,0.06,-0.54,0.115371378840466,0.0525847693858901
144,156,5,3,16,0.31,0.28,52,0.06,-0.54,0.115018330104896,0.0476598588691505
129,156,5,2,16,0.36,0.28,52,0.06,-0.54,0.110813683517529,0.0500442968410314
136,156,5,2,16,0.38,0.28,52,0.06,-0.68,0.120898046683543,0.0515111805270574
140,156,5,2,16,0.26,0.28,52,0.06,-0.61,0.113366856625575,0.0464214474778256
