date,apy
2016-11-18,0.18084186323435
2016-11-21,0.0716059050956701
2016-11-22,0.225558189317779
2016-11-23,0.323366103031916
2016-11-24,0.189789909282348
2016-11-28,0.128616650506201
2016-11-29,0.323859048073908
2016-12-08,0.213701765203642
2016-12-12,0.408166019697539
2016-12-13,0.301004672456334
2016-12-15,0.404973632682982
2016-12-19,0.305591878623313
2016-12-20,0.321019131894595
2016-12-23,0.266405740276746
2016-12-27,0.352673594203271
2017-01-04,0.194470469032221
2017-01-06,0.230077265710334
2017-01-12,0.151455055616793
2017-01-17,0.422025551241036
2017-01-17,0.287360406655645
2017-01-18,0.316031664522813
2017-01-18,0.356327930067057
2017-01-24,0.291654563302653
2017-01-24,0.35553611459575
2017-01-25,0.294581224891164
2017-01-26,0.303526182395762
2017-02-03,0.28967966706327
